Piece Title,Artist Gender,Artist of Color,Figure of Color,"If yes, only figures of color?",Subject Gender,Plaque Description
The Steamboat Enoch Dean,Man,No,No,,Man,"An example of a side-wheeler steamboat, the Enoch Dean was built by Benjamin C. Terry of Keyport New Jersey, in 1852. That same year the steamboat was painted by the prolific ship painter James Bard. Prior to the Civil War, the Enoch Dean ran from New York City on the East River to Flushing and College Point on Long Island. Bard's placement of the steamboat between a threatening sky and stylized waves serves as a reminder of the time when America's rivers were her great highways.
he Enoch Dean was employed by the Union during the Civil War as a cargo ship. A notice appeared in the New York Herald on May 6th of 1865 which described her final voyage.
""Steamer Enoch Dean, Hallett, from Savannah 19th ult., for the islands lying [south] of Savannah, with freedmen and their families, farming utensils, etc., while passing through a creek emptying into St. Catherine's Sound, struck a snag and sunk."""
The Schooner William Bayles,Man,No,No,,Man,"James Bard and his twin brother, John, rank among America's most acclaimed painters of steamboats and small sailing vessels. Although the brothers collaborated on about two dozen pictures, most Bard works are signed or attributed to James alone. James is known to have completed three portraits of the schooner William Bayles, two in 1854 and another in
1860. The commissioners of all three paintings remain unknown but both 1854 versions bear the sail maker's name on the mainsails.
he William Bayles was a 67 ton schooner built in  Nyack, New York in 1853 by John B. Voriz
Although the schooner changed owners, masters and home ports several times throughout her life, it is thought that one of her first contracts was hauling stone from a Tarrytown quarry to New York City. The William Bayles operated out of the port of New York until 1862, after which she is listed as serving out of various ports in Connecticut, New Hampshire and finally Massachusetts, from whence she was reported
""lost at sea"" in March of 1874."
The Schooner Yacht America,Man,No,No,,Man,"The first international yacht exposition was launched in England in 1851, marking the first formal racing competition between British and American vessels. On August 22 of that year, the schooner America became the first winner in the 53-mile contest around England's Isle of Wight. To mark the occasion, the Royal Yacht Squadron's trophy was thereafter known as the America's Cup.
Weighing in at 179 tons, the America was built in the spring of 1851 to the design specifications of Manhattan shipbuilder George Steers and financed by a syndicate under the leadership of John Cox Stevens, one of the founders of the New York Yacht Club. Following her racing career, the schooner sailed for both the North and the South during the Civil War. She was then presented to the United States Naval Academy in 1921 and served the Navy until an accident lead to her demise during World War II."
The Brig Georgiana,Man,No,No,,Man,"The brig Georgiana was built in 1827 in Duxbury Massachusetts, and owned by Frederick W. racy of Boston. By 1845, William Crispin was captain of the vessel which was registered in Boston. In January of 1847, the Georgiana, was reported in a New Orleans paper as being in Tampico, Mexico, as part of the United States-Mexican War that lasted from 1846-1848.
James Cuy Evans created this portrait of the Georgiana
in 1846 likely before the ship set sail for Mexico.
Evans was born in New York City and worked as a shoemaker before enlisting in the U.S. Marine Corps in 1829. After his military career, he settled in New Orleans, where he worked as a painter from 1846 to
1859. He advertised that he and his partner did house, ship and sign painting as well as historical, marine and ornamental painting. The careful execution of the complex network of ropes, chains and other lines comprising the rigging of the Georgiana speak to Evan's skill as a ship painter. A full-rigged ship of this size could have upwards of two hundred principal lines, whose name and function each crewman needed to know, and whose timely adjustments could save a mast in a storm or catch the faintest breeze in calm waters."
Chestina Farley and a Favored Kitten,Man,No,No,,Woman,"This portrait of Chestina Farley with her kitten was commissioned by her father, George Porterfield Farley, a planter, and his wife, Charlotte, in the late 1840s. The Farleys were descendants of the earliest settlers to Jefferson County, Mississippi, and lived in an area known as Shankstown (now Lorman). Raised as Catholics, Chestina and her two sisters, Charlotte and Georgia, were educated in Bardstown, Kentucky, at Nazareth Academy, a boarding school operated by the Sisters of Charity.
Thomas Poindexter painted portraits of the three Farley sisters not long after he arrived in Mississippi. Originally from Kentucky, he spent time in Tennessee before moving his family to Hind County, Mississippi, prior to 1850. Poindexter's travels through these states are well documented by local newspapers advertising his services as a portrait painter."
Annie Eliza Tomkins,Unknown,,No,,Woman,None
Jane A Fort Ransselaer,Man,No,No,,Woman,"Female sitters wear similar attire in many of Ammi Philip's
portraits created within the same time frame. Such repetition suited the speedy, self-assured, and highly-graphic style the artist began to develop in the 1820s, although the wording of an 1809 advertisement suggests that he touted aspects of the practice from the beginning. In that notice, he offered to show women in ""elegant dresses in the prevailing fashion of the day,"" seemingly claiming that, on canvas, he could embellish, update, or perhaps even totally
replace the apparel his sitters wore if they so
desired. The idea might have appealed to fashion-conscious females, but for Phillips, the primary allure was speed and, thus, profit.
Earlier owners of the portrait recorded the sitter's name as ""Mrs.
H. B. Van Rensselaer of Kinderhook, 1820,"" but records reveal no woman with these initials. It is possible that ""H. B."" was confused for ""H. P."" If this identification is correct then Jane was in her twenties when her portrait was completed, and by 1825 had five children."
Self Portrait of James Herring,Man,No,No,,Man,"These charming portraits likely depict artist James Herring and his first wife, Ann. Although neither includes a formal signature, one of the books depicted in the back of the male sitter's portrait includes the title The Life of J. Herring. Both portraits are marked on the back with the date ""January 1823"" and while such a book did not exist in 1823, in 1863, Herring published an autobiography recording his family history and career.
In 1838, Herring set out to establish an arts organization focused on spreading national awareness of American arts through the distribution of etchings, medals, and an illustrated newsletter.
The initial exhibition of The American Art-Union, held that year, included a ""Portrait of J. Herring, by himself"" among the 260 works exhibited."
Portrait of Ann Golden Herring,Man,No,No,,Woman,
The Merchant,Man,No,No,,Man,"This portrait was signed by ""R. B. Crafft,"" who appears in other records as Resin B. Craft, Reasoner Crafft, and R. B. Crofft.
Born in Ohio, he was first noted as a portraitist in Fort Wayne, Indiana. This 1836 likeness of an unidentified merchant, one of his earliest canvases, may well show a Fort Wayne citizen. Crafft also worked in Kentucky, lowa, and Ohio, and portraits of a Mississippi couple suggest he worked there as well.
While the swagged drapery and realistic modeling of the merchant's face indicate a degree of familiarity with artistic conventions, the irregularities in perspective seen in the
fingers, the relationship of the ledger and desk, and the row of tilted account books suggest the hand of an artist struggling to solve technical problems in his own way."
Child With Hoop,Man,,No,,Man,None
The Jennison Children,Man,No,No,,Both,"The striking unity of this large and complex family portrait speaks to the talent of artist Jefferson Gaunt, and perhaps to the close connections between the sibling subjects. Every child is depicted physically connected to or overlapping another. They are the eight children of William and Maria Antoinette Jennison. William was a prosperous merchant who brought his family from Baton Rouge, Louisiana, to Brooklyn, New York, by 1832.
Less than a year after this portrait was completed, Melinda Anna, the girl in the yellow dress, died. Her brother Charles the boy with the hoop on the far right) became a successful merchant.
It was through his family that the portrait descended to the donor.
Gauntt was an artist with academic aspirations. His work was exhibited at the Philadelphia Academy of Fine Arts and the
National Academy of Design in New York City. Despite his formal training, Gaunt's composition exhibits a slight awkwardness in execution, but that does not diminish the warmth and appeal of the Jennison children and their pet birds."
Calvin Hall,Man,No,No,,Man,"This portrait is often thought to typify stern, humorless New Englanders. But records reveal that New Englanders could be as light-hearted and fun-loving as people in any other region of America. Indeed, the fact that Calvin Hall (1759-1833)
commissioned a life-size, full-length portrait of his daughter suggests that he was a particularly indulgent, doting father. Hall's own half-length likeness and that of his wife Mercy Barnes Hall presumably reflect his and painter James Brown's mutual goal of images that conveyed simple dignity. Such a depiction suited a Revolutionary War veteran like Hall, who fought in New York State.
The background of the portrait is believed to show part of Cheshire, Massachusetts,
including the tavern built by Hall and a partner in 1804. The building, which still stands, housed prisoners during the War of 1812."
