Piece Title,Artist Gender,Artist of Color,Figure of Color,"If yes, only figures of color?",Subject Gender,Plaque Description
Margery Wilson Greer Settle,Man,No,No,,Woman,"As a young boy, Washington Bogart Cooper reportedly sketched people on the sides of fences and buildings at his parent's Tennessee farm. According to family history, he later received brief instruction from local artist Ralph E. W. Earl, but probably most impactful was an 1830 trip to Philadelphia, where he studied with Thomas Sully and Henry Inman. Upon Cooper's return home, he established a studio in Nashville and charged $100-150 for a standard bust-length portrait. He would become the state's most prolific painter.
Cooper's rendering of Margery Settle was done about the time of her marriage. Her husband Leroy was a successful businessman in Lebanon, where he was part owner of a hemp factory and a principal in a textile manufactory. The portrait of Margery and a companion likeness of her husband, both in their original frames, remained in the family until recently."
Francina Elizabeth Cox Greer and Daughter Elizabeth Mentoria,Unknown,,No,,Both,None
Dr William Horace Twyman,Man,No,No,,Man,"Orphaned eleven-year-old John Toole immigrated from his native Ireland to Charlottesville, Virginia, in
1827. Apparently self-taught, the teenaged Toole was painting portraits professionally by the early 1830s. His letters and diaries record the trials and tribulations of itinerant work, as well as the scope of his travels, from Martinsburg in northern West Virginia to Petersburg in southern Virginia.
Toole's papers also confirm that he painted multiple members of the Twyman family in Madison County, Virginia. William Twyman was born there in 1811, and later attended the University of Pennsylvania School of Medicine. Returning home, he worked as a physician until his death in 1876. Toole alludes to Twyman's profession by including a wooden case of physicians' instruments in this composition
"
Daniel Trueheart,Man,No,No,,Man,"These likenesses of Hanover County tavern owners Daniel and Mary Trueheart portray them with a few tools of their trade: clay tobacco pipes, wine decanter and glasses, jelly (or food) molds, and a brass horn.
Inclusion of the Virginia Gazette in Daniel's hand is notable - its 1794 date represents the year of his son's marriage and likely the date the paintings were produced.
London-born William Hodgson moved to Virginia in
1788. Working in Richmond, he produced architectural
carvings for the new state Capitol and ornamental work for a local cabinetmaker. Recent research has shown that he also painted portraits of several large family groups in adjacent counties, including that of Archer Payne, Sr. Long unidentified, Hodgson was thus known as the Payne Limner. Some two dozen portraits and landscapes are now attributed to his hand."
Mary Garland Trueheart,Man,No,No,,Woman,None
Alice Littlepage and Taylor Ingram,Unknown,,No,,Both,None
Christian Renatus von Zinzendorf,Man,No,No,,Man,"The son of a Prussian court goldsmith, John Valentine Haidt left metalworking mid-career after a profound religious experience prompted him to join the
Moravian church and become a lay preacher. He soon found that painting portraits and religious scenes within the Moravian community was his true calling. Conflicted, he sought approval from the bishop, Count Nicholas von Zinzendorf. It was likely then that he met the leader's son, Christian von Zinzendorf."
William Henry Capers,Man,No,No,,Man,"Born in Massachusetts, Ralph Earl trained in England before establishing himself in New York City around 1785. Soon afterward he was sued for nonpayment of a loan and imprisoned for debt in City Hall, the epicenter of local political and judicial life. Yet prison time was beneficial to Earl's career, resulting in 20 portrait commissions and connections that would later yield even more work.
Hailing from St. Helena, South Carolina, William Capers traveled to Fairfield, Connecticut, in 1784 to attend the Rev. Timothy Dwight's school. While there, he met Abigail Burr, a student in the female academy adjacent to Dwight's school for ""boys intended for Yale."" They were married in 1789 and shortly relocated to South Carolina. Produced in 1788, William's portrait likely hung in the couple's South Carolina home."
James Gignilliat,Man,No,No,,Man,"These images of James (left and Charlotte Pepper Gignilliat (above) were painted by Philadelphia native Henry Benbridge, one of the few American artists to study in Italy and England before the Revolution.
He settled in Charleston on his return from Europe and there depicted many well-to-do subjects in the restrained settings and informal poses then popular on the Continent. This is particularly evident in the likeness of Charlotte Gignilliat, shown in avant-garde neoclassical ""portrait dress."" The garments were likely the artist's creation, inspired by Europe's fascination with the classical world.
Married in 1766, the Gignilliats settled in South Carolina's Beaufort district. After the war they relocated to Contentment, a rice plantation near Darien, Georgia.
Their portraits survive in frames likely made in Charleston during the early 19th century."
Charlotte Pepper Gignillant,Man,No,No,,Woman,None
Elizabeth Allen,Man,No,No,,Woman,"This portrait of teenaged Elizabeth Allen was likely painted in conjunction with her engagement to Scottish merchant and planter John Deas. It is the work of Swiss-born Jeremiah Theus, who recorded an impressive number of Lowcountry subjects between 1740 and his death in 1774. This painting survives in its original imported British frame.
Elizabeth's inherited wealth and John's success allowed them to follow the lead of other well-heeled Carolinians by traveling to Europe. After three years abroad, they returned in 1772 with an array of costly goods, including an Allan Ramsay portrait of John's father. The finest surviving Charleston-made double chest of drawers (at far right) also was among their possessions."
Enslaved Girl,Woman,No,Yes,Yes,Woman,"Depictions of enslaved African-Americans are rare, particularly images that lack the distortions of stereotyping. This portrait is unusually empathetic. Mary Custis was the only surviving child of George Washington Parke Custis of Arlington Plantation on the Potomac River. Likely the subject was one of the Custis slaves, though her name is unknown. A minimal setting and skillfully executed details focus attention on the subject, whose quiet dignity dominates the image. Although small, young, and vulnerable, every detail of the girl's attitude conveys self-possession and assurance.
Mary Custis harbored a lifelong concern for the education of slaves, teaching those at Arlington to read and write. Her goal was to prepare them for eventual emancipation.
Her father's will directed that his slaves be freed within five years of his death if his estate were solvent."
William King Jr,Man,No,No,,Man,"Portraits of the wealthy are common in this period, but early images of American craftsmen and women are rare in the extreme. This important likeness depicts William King, Jr., a successful Washington cabinetmaker whose clients included the Monroe White House. Painted in 1841, it marks the occasion of King's 70th birthday and illustrates the tradesman seated in a chair that is likely of his own design. The cherry and maple frame, too, appears to be from the artisan's shop,
The artist, James Alexander Simpson, was a member of the art faculty at nearby Georgetown College (now Georgetown University) and a well-known local portraitist. His portrait of King descended in the subject's family until 2015. It joins several important pieces from the King shop in Colonial Williamsburg's collection."
Dr William Gwathmey,Man,No,No,,Man,"William Gwathmey was a planter, physician, and trustee of Beulah Baptist Church in King William County, Virginia.
He married Elizabeth Burnley in 1826 and they moved to Burlington Plantation on the Mattaponi River in 1839. They greatly expanded the 18th-century house in 1842, and many of their possessions remained in situ until 1988.
The property also retains an early barn that served as the original meetinghouse for Beulah Baptist Church. Willam's 1830s diaries record the couple's uncommon travels to St.
Augustine, Florida, New Orleans, and Chicago, among other locales.
In 1836, the Gwathmeys commissioned Fredericksburg-area artist William Henry Fairfax to paint these portraits. Fairfax had exhibited at the Pennsylvania Academy of Fine Arts in 1834, where he likely met Philadelphia frame maker Frederick
C. Garbanati, whose label marks the back of William's
likeness."
Elizabeth Theresa Burnley Gwathmey,Man,No,No,,Woman,None
The Murray Sisters,Unknown,,No,,Woman,None
Lucy Skelton Gilliam,Man,No,No,,Woman,"In 1834, art historian William Dunlap wrote that John Durand's portraits were ""strong likenesses."" The observation is clearly
illustrated in Durand's 1780 rendering of Lucy Skelton Gilliam. Durand depicted striking features-a long neck, high cheekbones, and a prominent jawline. These unusual qualities are infrequently seen in his other works, suggesting that Durand created a true depiction of his subject. On the other hand, the pose, including the closed fan, is typical of 18th-century women's portraiture and was used by several artists from about 1755-1785.
Lucy was the daughter of James Skelton and Jane Meriwether Skelton, both from Tidewater Virginia families. In 1760, she married Robert Gilliam of Prince George County on the James River. The Skeltons and Meriwethers were descendants of distinguished families in England."
Benjamin Harrison,Man,No,No,,Man,"Philadelphia clients enjoyed displaying
more
openly. As an example, Harrison wears a miniature portrait on a ribbon around his neck, but the costly object is only half visible, tucked beneath the edge of his waistcoat. Similarly, Harrison is depicted in an expensive but plain suit of blue velvet devoid of superfluous trimmings. Indeed, restraint and elegance characterize every aspect of Peale's sensitive likeness.
The setting is Brandon, Harrison's plantation on the south side of the James River in Prince George County, Virginia. The subject was a member of the State Council in 1776 and the House of Delegates from 1777."
George Washington,Man,No,No,,Man,"Gilbert Stuart created 12 to 16 versions of this likeness of George Washington, all derived from a life portrait that Stuart later destroyed as unsatisfactory. This example was commissioned from Stuart by Major General Henry (""Light Horse Harry"") Lee, a close friend of Washington's and one of the commander-in-chief's most highly-regarded officers during the Revolution. Lee hung the portrait at his Stratford Hall Plantation in Westmoreland County, Virginia.
By the time Washington posed for Stuart in 1795, he had been elected president twice. In modern terms, he had attained cult status, and likenesses of him were in great demand. Stuart was happy to supply them to customers in the South and elsewhere."
John Custis IV,Man,No,No,,Man,"John Custis IV was a prominent and powerful Virginia planter who lived on the Eastern Shore and in Williamsburg. In addition to managing his multiple plantations, he sat on the Virginia Governor's Council. Like many of the Virginia gentry, Custis furnished his house with an array of imported goods. In addition to the atlas seen below, he ordered a variety of furniture forms, paintings, prints, textiles, and glassware from his London merchant. Custis took most pride, however, in his expansive gardens and repeatedly requested that his agent send bulbs for double tulips. Artist Charles Bridges captured Custis's love for horticulture by painting the book in his left hand, Of The Tulip, accompanied by the cut flower.
Bridges was English-born and served Virginia as the colony's first documented professional portraitist."
Frances Ann Tasker Carter,Man,No,No,,Woman,"British-trained artist John Wollaston Jr. came to America in 1749, bringing with him an understanding of painting styles recently made popular in London. His use of fashionable poses, colors, expressions, and costume in his portraits was well-received by wealthy Americans. During Wollaston's brief stay in Virginia, he painted over 100 portraits, the largest number by any artist there before 1800.
Wollaston's portrait of Frances Ann Tasker Carter was likely created around the time of her marriage to Robert Carter III and probably served as a companion to an earlier English portrait of her husband. A glowing description of Frances Carter can be found in the diary of Philip Vickers Fithian, tutor in the Carter household. The Carters lived at Nomini Hall in Westmoreland County, Virginia,
except for a period of nearly a
decade. Between the years 1761 and 1772, the couple resided with their family at the house on Palace
Green
in Williamsburg now
known as the Robert Carter House."
William Byrd II,Man,No,No,,Man,"From 1689 until his death in 1723, Sir Godfrey Kneller served as principal painter to the king. In that capacity, he was responsible for official state portraits of the monarch. Yet much of his time was consumed by private commissions from those who aspired to political, economic, and social success.
William Byrd II inherited great estates in Virginia which, together with the force of his personality and his own accomplishments, made him one of the most prominent and powerful men in the colony. His stylish portrait is an example of his ambitions, having been painted in London by the most prestigious studio of the day.
Byrd brought his portrait back to Virginia to hang at Westover, the manor house on his Charles City County plantation. Over the ensuing years, he amplified the painting's impact and further emulated the English elite by assembling and displaying a collection of more than 30 portraits of family members and friends, an extraordinary cultural achievement for the time and place."
Frances Parke Custis,Man,,No,,Woman,"Frances Parke Custis (called Fanny was the daughter of John Custis IV, among the wealthiest Virginians of his day. Depicted in her early teens, Fanny's loosely arranged attire is likely based on printed images of British noblewomen and may be more fanciful than accurate. The roses are a reference to her young womanhood. In the Chesapeake and elsewhere, a costly portrait was often intended as a statement about the subject's status, taste, and gender role.
The likeness was painted by an unidentified artist who produced a number of portraits in the 1720s for the Brodnax and Jaquelin families of Jamestown and Williamsburg. Known today as the Jaquelin-Brodnax Limner, his other surviving works are bust-length; this is the only known three-quarter length canvas. The imported British frame may be original to the painting."
Portrait of a Ludwell Girl,Man,No,No,,Woman,"Charles Bridges arrived in Virginia in the mid-1730s and quickly earned the patronage of the leading Tidewater families. Over the course of about eight years, he painted portraits for many of the colony's wealthiest residents, depicting them as confident, fashionably dressed citizens of a larger British society.
Tradition suggests that this young sitter was a member of the Ludwell family of Greensprings Plantation near Williamsburg.
The Ludwells held prominent roles in local government and at the College of William and Mary. They occupied their estate for over 100 years, witnessing numerous historic events including occupation by American forces under the command of the Marquis de Lafayette during the Revolutionary War.
The portrait survives in its original English frame. When new, the carved surface was silvered rather than gilded."
Joyce Armistead Booth,Man,No,No,,Woman,"Likely born in Britain, William Dering arrived in Virginia in 1737. He lived in rural Gloucester County before moving to Williamsburg, where he worked as a dancing master and portrait painter. Dering enjoyed connections to the colony's elite, regularly interacting with the Byrds, Carters, Randolphs, and their peers.
Joyce Armistead Booth was the matriarch of a wealthy Gloucester family. Her uncommonly large, visually commanding, and well-preserved portrait is among Dering's finest efforts. Its scale and colorful composition were meant to impress viewers and convey Mrs. Booth's taste and status.
William Dering produced an equally impressive portrait of Mrs. Booth's teenaged son, George, in which he is flanked by life size marble sculptures.
Such unusual compositions may have been inspired by the more than 200 prints in
Dering's possession."
Captain William Preston Smith,Man,Yes,No,,Man,"José Salazar was born in Mérida on Mexico's Yucatan Peninsula and immigrated to Spanish-held New Orleans in
1782. Once established in that bustling, cosmopolitan port, the artist quickly made a name for himself portraying its leading figures. Salazar would dominate portraiture in New Orleans for 20 years until his death in 1802.
William Preston Smith was born in Kentucky about 1780.
At the age of 14 he was appointed an ensign in America's fledgling army, The Legion of the United States. In 1797 he was promoted to lieutenant and on March 21, 1800, he gained the rank of captain while serving in New Orleans.
Sadly, he died there just over a year later, probably of yellow fever.
In Salazar's likeness of Smith, the single epaullette on his right shoulder signifies his new captaincy."
Isaac Barre,Man,No,No,,Man,"Col. Isaac Barré served in North America
during the French and Indian War. On returning home, he was elected to Parliament, where his vigorous opposition to the taxation of the colonies garnered deep admiration in America. In a notable speech delivered to Parliament in 1765, Barré originated the description of American patriots as the ""Sons of Liberty,"" The next year Sir Joshua Reynolds depicted Barré pointing to a map of North America, emphasizing his political convictions.
Reynolds was among the most gifted artists of the 18th century. He was also a founding member of the Royal Academy, an institution established in 1768 by King George III to provide professional training for artists in Britain."
Thomas Frye Portrait 1,Man,No,No,,Man,"These prints, drawn and engraved by Thomas
Frye, are part of a series illustrating fashionably dressed subjects. They are among the finest examples of the mezzotint engraving process.
The sensitivity and expressiveness of the sitters was achieved through Frye's manipulation of light and dark tones and enabled him to capture a specific moment in the lives of his subjects."
Thomas Frye Portrait 2,Man,No,No,,Man,None
Thomas Frye Portrait 3,Man,No,No,,Man,None
Thomas Frye Portrait 4,Man,No,No,,Man,None
Batholomew Dandridge,Man,No,No,,Man,"Bartholomew Dandridge was born in nearby New Kent County, Virginia, in 1773 or 1774.
He spent much of his childhood in Williamsburg, where his father, Bartholomew senior, owned the Elizabeth Carlos House on Waller Street. The elder Dandridge was a younger brother of Martha Dandridge Custis Washington. Young Bartholomew
was
consequently George Washington's nephew by marriage and served as his private secretary from 1791 until 1797. In the latter year,
Oil on canvas
Museum Purchase, 1973-198
Dandridge traveled to London to serve as secretary to Rufus King, minister plenipotentiary to Great Britain.
While in London, Dandridge sat for this striking portrait, executed by his countryman, John Trumbull. Although best known as a history painter, Trumbull performed many roles including teacher, architect, cartographer, soldier, and diplomat."
Daniel Parke II,Man,No,No,,Man,"Born into a wealthy Virginia family, Daniel Parke's political and military aspirations led him to England as a young man. He found fame at the conclusion of the 1704 Battle of Blenheim in Germany. Handsome and popular, Parke was chosen by the Duke of Marlborough to carry word of England's victory back to Queen Anne. Elated by the news, she presented Parke with a miniature portrait of herself, which appears on a ribbon around his neck in this painting
and all other known likenesses of him.
Sir Godfrey Kneller depicted Parke heroically dressed in field armor, holding the baton of command, and with the Battle of Blenheim raging in the background. The gifted Kneller was one of England's leading portrait painters during the late 17th and early 18th centuries. He served as court painter to both Charles II and George I."
King William III,Man,No,No,,Man,"As a prominent Dutch political leader, William of Orange invaded England in 1688, successfully dethroning his Catholic uncle and father-in-law, King James II, and restoring Protestantism to the British Crown. Together with his wife, Mary, he established the first joint English monarchy. During their reign, the couple granted a charter for the College of William and Mary in 1693 and William became the namesake of the city of Williamsburg upon its establishment in 1699.
William II's likeness portrays him in his royal regalia and is one of many copies that functioned as the official image of the King for private and public spaces both in England and abroad. He was painted by the studio of Sir Godfrey Kneller, principal painter to William and Mary. The frame is a hand-carved, silver-gilt reproduction based on period profiles."
Sir Walter Raleigh,Unknown,,No,,Man,None
Portrait of Ellin North Moale and her Granddaughter Ellin North Moale,Man,Yes,No,,Woman,"Joshua Johnson, one of America's first Black professional artists, worked in the Baltimore area for 30 years beginning about 1795. Born into slavery, he was freed in
1782. Little is known of Johnson's career path, but he once referenced ""having experienced many insuperable obstacles in the pursuit of his studies.""
With its complex background and costuming, Johnson's likeness of Ellin Moale and her namesake granddaughter is one of his most ambitious. Moale sat for several academically trained artists over the years, including John Hesselius, John Wollaston, Jr., and Rembrandt Peale.
Her decision to sit for Johnson may have been due to the fact that they were near neighbors. Notably, Moale's husband, Justice John Moale, signed Johnson's manumission papers."
Clementine Hunter,Woman,Yes,Yes,Yes,Woman,"Clementine Hunter often recorded scenes from her life on
and around Melrose Plantation,
where she lived and worked for most of her life. This piece depicts several of the buildings from the estate as well as tasks that Hunter was involved in, such as harvesting crops and doing laundry.
Of particular importance to Hunter's story is the African House pictured at the top of her
painting. The African House was built around 1815, but its original use is unclear. In the summer of 1955, Hunter spent seven weeks painting autobiographical murals around the entire second floor. The buildings featured in her murals are also found in this work, including the sundial, depicted in the upper left corner here.
This armillary sphere is seen in many of Hunter's Melose paintings and was supposedly how
Hunter learned to tell time."
Baptism,Woman,Yes,Yes,Yes,Both,"Born in 1887, Clementine Hunter spent most of her life working in the fields and kitchen at Melrose Plantation in Natchitoches Parish, Louisiana. She spoke only Creole French until she was nearly 40 and could neither read nor write. During its heyday, Melrose was a center for arts, history, and culture, inspiring artists and writers to visit and stay at the property. Hunter's first painting was created on a window shade with discarded paint left by one of the guests.
For nearly 40 years, Hunter painted the people in her community and activities of daily life in and around the plantation, like this one depicting an outdoor baptism. Of her work, she simply remarked, ""I tell my stories by marking pictures,"" ""My art is a gift from the Lord."" Her joyful and vibrant depictions show that despite many hardships, she lived a full life around the people and places she loved."
One Hundred Dollars,Man,Yes,No,,,"Jimmy Lee Sudduth was only a toddler when he created his first picture-a dog drawn with mud smeared across the top of a tree stump near his rural Alabama home. When the image washed away, he became determined to find a method that kept the mud in place, leading him to develop his signature ""sweet mud,"" a combination of dirt, water, and various syrups. Sudduth incorporated both natural materials and household goods in his work including berries, grasses, coffee grounds, axle grease, and leftover house paint. While his choice to render this enlarged hundred-dollar bill is unusual, the technique of using his fingers to paint is typical of Sudduth's work."
Self Portrait in Person,Man,Yes,Yes,Yes,Man,"Mose Tolliver, his wife, and their large family lived in Montgomery, Alabama. While employed at a furniture factory in the late 1960s, a serious workplace accident left him physically disabled. Soon Tolliver began to create art using house paint, plywood, poster board, and other found materials, all in a distinctive style. His paintings often featured colorful birds, large animals, and trees, but in the self-portrait seen here he documented a painful personal reality: that after the injury, he could neither stand nor walk without assistance."
Big Daddy's House at Hickory Hill,Woman,Yes,Yes,Yes,Both,"Bernice Sims came to art late in life after surgery left her unable to work. To stay busy, she enrolled in community college art classes and explored her long-held interest in painting. A chance meeting with noted Black artist Mose Tolliver, who lived nearby, spurred her on.
Many of Sims's works, including this one, reflect her memories of rural childhood and family activities. Others depict her role as an early civil rights activist. In 2005, the U.S.
Postal Service honored Sims with a stamp featuring her painting of the Edmund Pettus Bridge in Selma, Alabama, scene of 1965's Selma-to-Montgomery march, in which she participated."
Animals and Tree,Man,Yes,,,,"Born into slavery near Benton, Alabama, Bill Traylor remained on the property of his former enslaver, George Traylor (from whom the artist took his surname following emancipation. In 1938, he moved to Montgomery and began producing paintings and drawings, eventually creating some 1,500 to 1,800 artworks.
Traylor's extraordinary body of work is both abstract and figurative. His innate sense of form and placement and his concise conveyance of mood imbue his paintings and drawings with clarity, wit, and grace."
Portrait of Susanna Cardwell McCausland and Child,Man,Yes,No,,Both,"Joshua Johnson is one of America's earliest documented Black professional artists. Born into slavery about 1763, he was manumitted at the age of 19 after completing an apprenticeship in blacksmithing. Johnson instead pursued a career as a portraitist, later describing himself as ""self-taught."" Only two of the known portraits from his
30-year career depict Black subjects; the rest portray middle class and wealthy white citizens of Baltimore and its vicinity. Shown here is Susanna McCausland, who immigrated from Ireland to Maryland in 1804. On her lap is one of her ten known children."
Woman in Green Hat and Yellow Coat,Man,Yes,Yes,Yes,Woman,"Born in 1915, Anderson Johnson became a street preacher at the age of eight after receiving a message from God. Later in life, a medical bill he could not pay, and a divine inspiration encouraged him to begin painting.
Johnson collected small fees for his art to help maintain his ministry. In the early 1970s, he began transforming his home into a ""faith mission"" where he conducted services every Sunday. Johnson covered the interior with paintings and inscriptions, some executed directly on the walls. Occasionally he painted members of his church; this portrait may be one of them."
Untitled (Brown and Black Figure with Yellow),Woman,Yes,Yes,Yes,Man,"Mary Smith began painting when she was nearly 70, but images had filled her mind throughout her life. As a child, she suffered from a severe hearing loss that isolated her but also made her intensely independent.
Having her own home later in life allowed Smith to explore her imagination in a new way. She transformed the house and garden into an artistic environment with bold paintings on plywood or corrugated tin, some incorporating text, and many worked in only two or three colors. Some of Smith's images seem to draw inspiration from West African ceremonial masks, while others sprang from her Christian faith. Displaying her art in this way finally allowed Smith to express herself to the world."
African Queen,Man,Yes,Yes,Yes,Woman,"Richard Burnside began painting after a foot injury sidelined his short stint in the military.
He discovered that art distracted him from pain but also provided pleasure for himself and others. Much of Burnside's adult life was spent in Pendleton, South Carolina, where he worked in jobs ranging from store clerk to restaurant chef. Later in life, he painted in Pendleton's downtown square where he loved to see people enjoying his art.
Burnside's work often included Africanized mask-like faces that he called Kings and Queens.
These figures usually incorporated heavy outlines, dot patterns, and bright colors. Burnside said his Kings and Queens symbolized authority and power, but he also painted them simply because people liked them."
Childhood Sweethearts 1,Unknown,,No,,Both,None
Childhood Sweethearts 2,Unknown,,No,,Both,None
Captain Thomas Trent Jr and William Henry Trent,Man,,No,,Man,"This portrait of Captain Thomas Trent, Jr. and his son, William, was painted by Samuel Taylor. At the time, Taylor also painted the companion portrait of Trent's wife, Martha, and their daughter, Joella. The family lived in Buckingham (now Appomattox)
County, Virginia, on an estate called Rural View.
Samuel Taylor worked in the Virginia Piedmont between
Richmond and Lynchburg from 1825 to 1845. The qualities of his work suggest he had no formal artistic training.
Nevertheless, his use of
symbolic props such as the books in this portrait was based on an understanding of common artistic conventions. Like other rural artists, Taylor found his clients through word of mouth between his sitters' relations and neighbors. That is likely the case with Trent, whose relatives were also portrayed by Taylor."
Commodore Oliver Hazard Perry,Unknown,,No,,Man,None
Adam Stephen Dandridge Jr,Man,No,No,,Man,"When 17-year-old Adam Stephen Dandridge, Jr. had his portrait painted by artist James Macoughtry (1808-1841), he was likely a student at Princeton.
After his graduation in 1833, Dandridge returned home to Jefferson County, Virginia (now West Virginia), where he became prominent in local and Virginia politics.
Macoughtry, a fellow resident Jefferson County, attended the Philadelphia Academy of Art while in his teens and visited with noted artist Thomas Sully. Macoughtry seems to
have been influenced not only by Sully, but also
by artist
Philip
Tilyard, who painted Dandridge's first cousin, John Pendleton Kennedy in
1827. Copying the Tilyard painting allowed Macoughtry to practice his style and technique. A receipt dated 1831, records payment of $60 to Macoughtry for two portraits, this one of young Dandridge and another of
his mother. A year later, through the
generosity of another satisfied client,
Macoughtry travelled abroad to continue his training."
John Thompson Mason,Man,No,No,,Man,"Brothers Stevens Thomson Mason and John Thomson Mason were grandnephews of Revolutionary War patriot George Mason. They were also cousins of John Mason, Jr., whose wife's portrait by Thomas Sully hangs nearby. John Thomson Mason studied at the College of William and Mary and married Elizabeth Moir in Williamsburg in 1809 before moving to Kentucky. Younger brother Stevens died at the age of 26.
These portraits were painted by French artist Francis Cezeron during a visit to Virginia. Foreign-born artists saw American travel as an economic opportunity. Little is known about Cezeron's training, but newspaper advertisements mark his arrival in Lancaster, Pennsylvania, as a dance instructor and French teacher. The
first reference to portrait painting appears in 1809 in Frederick, Maryland 2. Over the next decade, he traveled to Carlisle and Pittsburgh, Pennsylvania, and Culpeper County, Fredericksburg, and Loudoun County, Virginia. His profile portraits of the Masons bear similarities to the early work of fellow Lancaster resident and
painter Jacob Eichholtz, who may have been trained by Cezeron."
Stevens Thompson Mason,Man,No,No,,Man,None
Dr Elisha Hall,Man,No,No,,Man,"Originally from Philadelphia, Dr. Elisha Hall lived in Fredericksburg, Virginia, where his patients included George Washington's mother, Mary Ball Washington.
Hall and noted Philadelphia physician Benjamin Rush were first cousins. In 1789, Hall sought Rush's advice on treatment for Mrs. Washington's breast cancer. Rush wrote that ""there does not exist in the vegetable kingdom an antidote to cancers."" Mrs.
Washington died a month later.
Charles Peale Polk painted these portraits of Hall and his wife, Caroleana Carter Hall,
around 1795. Mrs. Hall's portrait was clearly inspired by the likeness of Rush's wife, Julia Stockton Rush. Mrs.
Rush was depicted by Polk's uncle, mentor, and painting teacher, Charles Willson Peale, in 1776. At that time, the younger artist lived with his uncle and learned the rudiments of the painting trade."
Caroleana Carter Hall,Man,No,No,,Woman,None
Matilda Morrow,Man,No,No,,Woman,"Little is known about Amos Morrow, but he apparently had no problem being captured for posterity as he really was, scalp tumors and all. Artist Charles Peale Polk needed to please his client in order to get paid, so Morrow must have been satisfied with the final image. In addition to Amos Morrow, Polk painted portraits of Amos' wife, Matilda, and the couple's two daughters.
The training Polk received from his famous uncle, Trenes are The See Be ad stan set to
likenesses. The swagged red curtain used as a backdrop and the oval framing appear in many of Polk's pictures. He drew upon his experience in the Peale household for the multiple commissions he received throughout the western areas of Virginia and Maryland, including his time with the Morrows in Jefferson County, Virginia (now West Virginia)."
Amos Morrow,Man,No,No,,Man,None
Peter Lenox,Man,No,No,,Man,"Peter Lenox, son of a Williamsburg wigmaker and barber, had a hand in the most iconic buildings in our nation's capital: the White House and the Capitol. Drawing on associations likely made during apprenticeships with two Richmond, Virginia, joiners, he eventually secured federal appointments as carpenter and builder. This portrait by Charles Bird King displays some of the drawing instruments Lenox used in his work.
A sizable inheritance enabled
Rhode Island native king to apprentice in New York
with artist Edward Savage before traveling to London to study with artist Benjamin West.
King returned in 1812, settling in Philadelphia.
After a period of itinerancy, he moved
to Washington, D.C., where he painted these portraits of Peter and Margaret Lenox. King is best known today for a series of 143 portraits of Native
Americans painted between 1821 and 1842."
Margaret Welling Lenox and Walter Lenox,Man,No,No,,Both,None
Catherine Macomb Mason,Man,No,No,,Woman,"Here Thomas Sully captured the love of first-time mother Catherine Macomb Mason for her year-old son, John _ Henry. Catherine and her husband, John Mason Jr., lived in Georgetown, D. C. A noted politician and lawyer, John was the grandson of George Mason, author of the Virginia Declaration of Rights (which later served as the basis for the U.S. Bill of Rights).
Catherine and John married in 1827 and John Henry was born a year later, the first of 10 children. Sadly four of them died very young, including John Henry, who passed away two years after posing with his mother for this portrait.

In a journal entry for June 1st, 1829, Thomas Sully noted that he
""began Mrs. Mason and Child.""
Nearly two months later, he completed the portrait along with a likeness of Catherine's father, Major General
Alexander Macomb, hero of the War of 1812 and Commander and Chief of the United States Army at West Point."
Portrait of a Barber (Pierre Toussaint),Unknown,,Yes,Yes,Man,None
Elizabeth Thatcher Corbin Major Jameson,Man,No,No,,Woman,"Elizabeth “Eliza” Jameson stands out in this exhibition as the only sitter to be decked out in gold jewelry, From her filligree and paste earrings to the pocket watch at her waist, she presents quite a picture as a 28-year-old wife and mother. The music book in her hand hints at her interest in a subject learned by most fashionable young women of the period.
Over the course of 1831-1832, Eliza's parents, William and Elizabeth Major, commissioned Thomas Jefferson Wright to paint portraits of themselves and at least eight members of their immediate family, including Eliza. These portraits, as well as others the artist completed in Culpeper County, Virginia, may be the earliest works by Wright after he received formal training, possibly in Philadelphia.
They demonstrate a stylistic change from his earlier works, like the portraits of the Howards to the left"
George Howard,Man,No,No,,Man,"These portraits of dry goods merchant George Howard and his wife, Cassandra Hukill Howard, are among Thomas Jefferson Wright's earliest known works. The Howards took to the young artist and made arrangements for him to meet celebrated local artist, Matthew Harris Jouett, who himself wrote a letter of introduction to Thomas Sully for Wright in 1822. How much of a role the Howards played in Wright's artistic career is yet to be determined, but a portrait of their son, Thomas Gibson Howard, was painted by Wright in 1833, suggesting the couple stayed in touch with the young artist.
Unframing the portrait the allowed protected area of the painted surface to be seen. This area revealed that Cassandra's dress was a vibrant rose-violet color, making
it evident that much of the visible dress had faded over time. This digital re-colorization, based upon this well-preserved portion of the
painting, helps us see her as the artist originally intended."
Cassandra Hukill Howard,Man,No,No,,Woman,None
General Peter Buell Porter,Man,No,No,,Man,None
Letita Breckinridge Porter,Man,No,No,,Woman,None
